ped. #,time (s),x (cm),y (cm)
3,21.68855,53.7379,-66.5583
3,21.721917,57.6311,-66.5846
3,21.755284,62.6291,-68.0972
3,21.788651,67.0746,-67.5842
3,21.822018,70.4943,-67.5842
3,21.855385,74.9399,-67.9262
3,21.888752,79.0435,-67.5842
3,21.922119,83.3181,-67.5842
3,21.955486,88.2766,-68.0972
3,21.988853,91.6963,-67.2423
3,22.02222,95.116,-67.2423
3,22.055587,100.245,-67.2423
3,22.088954,103.238,-66.8148
3,22.122321,107.94,-67.2423
3,22.155688,112.214,-65.5324
3,22.189055,115.976,-64.8485
3,22.222422,120.764,-64.6775
3,22.255789,124.525,-63.6516
3,22.289156,127.945,-62.7967
3,22.322523,133.587,-62.9677
3,22.35589,137.862,-62.9677
3,22.389257,141.709,-62.5402
3,22.422624,146.234,-61.6705
3,22.455991,150.597,-61.4642
3,22.489358,154.618,-61.4288
3,22.522725,158.38,-61.2578
3,22.556092,162.996,-61.0868
3,22.589459,166.416,-61.0868
3,22.622826,169.921,-61.6853
3,22.656193,174.794,-60.7449
3,22.68956,178.898,-61.2578
3,22.722927,181.976,-61.4288
3,22.756294,185.737,-61.2578
3,22.789661,189.54,-61.7885
3,22.823028,193.432,-62.9677
3,22.856395,198.159,-62.2133
3,22.889762,201.981,-62.9677
3,22.923129,204.973,-62.5402
3,22.956496,210.53,-62.9677
3,22.989863,214.291,-62.7967
3,23.02323,218.395,-62.6257
3,23.056597,222.499,-62.9677
3,23.089964,226.773,-62.9677
3,23.123331,230.364,-62.6257
3,23.156698,235.322,-62.9677
3,23.190065,238.742,-62.9677
3,23.223432,242.162,-62.9677
3,23.256799,245.582,-62.1127
3,23.290166,249.856,-61.2578
3,23.323533,254.131,-61.2578
3,23.3569,257.208,-60.5739
3,23.390267,260.97,-60.4029
3,23.423634,265.245,-59.548
3,23.457001,268.664,-59.548
3,23.490368,273.794,-58.6931
3,23.523735,277.555,-57.6672
3,23.557102,282.343,-57.8382
3,23.590469,285.763,-57.8382
3,23.623836,290.892,-57.8382
3,23.657203,295.167,-56.9832
3,23.69057,299.441,-57.8382
3,23.723937,303.716,-56.9832
3,23.757304,307.136,-56.9832
3,23.790671,311.41,-56.9832
3,23.824038,314.83,-56.9832
3,23.857405,319.104,-56.9832
3,23.890772,323.379,-56.9832
3,23.924139,326.799,-57.8382
3,23.957506,331.244,-57.4962
3,23.990873,335.348,-57.8382
3,24.02424,338.768,-59.548
3,24.057607,343.897,-59.548
3,24.090974,347.744,-59.9755
3,24.124341,352.446,-59.548
3,24.157708,355.866,-60.4029
3,24.191075,360.995,-60.4029
3,24.224442,366.125,-61.2578
3,24.257809,369.545,-60.4029
3,24.291176,374.674,-60.4029
3,24.324543,378.094,-60.4029
3,24.35791,383.223,-59.548
3,24.391277,386.301,-59.719
3,24.424644,390.405,-59.377
3,24.458011,395.192,-59.548
3,24.491378,398.612,-58.6931
3,24.524745,402.886,-58.6931
3,24.558112,406.648,-57.6672
3,24.591479,410.581,-57.8382
3,24.624846,415.71,-56.9832
3,24.658213,419.985,-56.9832
3,24.69158,424.601,-55.9574
3,24.724947,430.244,-56.1283
3,24.758314,433.729,-55.7995
3,24.791681,438.793,-56.1283
3,24.825048,443.922,-56.1283
3,24.858415,447,-55.4444
3,24.891782,454.411,-55.6279
3,24.925149,457.601,-55.2734
3,24.958516,460.889,-55.0761
3,24.991883,464.44,-56.1283
3,25.02525,467.86,-56.9832
3,25.058617,472.135,-56.9832
3,25.091984,476.067,-57.1542
3,25.125351,480.256,-57.4107
3,25.158718,484.959,-58.6931
3,25.192085,488.036,-58.864
3,25.225452,493.508,-59.548
3,25.258819,498.637,-60.4029
3,25.292186,502.057,-61.2578
3,25.325553,507.186,-60.4029
3,25.35892,512.316,-61.2578
3,25.392287,516.078,-61.0869
3,25.425654,521.036,-60.7449
3,25.459021,525.225,-61.5143
3,25.492388,529.414,-61.2578
3,25.525755,533.176,-61.0869
3,25.559122,537.279,-60.7449
3,25.592489,542.238,-61.2578
3,25.625856,546.044,-61.1762
3,25.659223,550.18,-60.888
3,25.69259,554.168,-60.7353
3,25.725957,558.68,-60.3127
